about_me,label,contact details,non_alpha_density,high_density_clusters,language,intermixed_words
A︇︆︈l︇︆︈l︇︆︈ ︇︆︈m︇︆︈y︇︆︈ ︇︆︈s︇︆︈e︇︆︈x︇︆︈y︇︆︈ ︇︆︈p︇︆︈h︇︆︈o︇︆︈t︇︆︈o︇︆︈s︇︆︈ ︇︆︈a︇︆︈n︇︆︈d︇︆︈ ︇︆︈v︇︆︈i︇︆︈d︇︆︈e︇︆︈o︇︆︈s︇︆︈ ︇︆︈,1,1,0.75,"['A︇︆︈l︇︆︈l︇', '︆︈ ︇︆︈m︇︆︈', 'y︇︆︈ ︇︆︈s︇', '︆︈e︇︆︈x︇︆︈', 'y︇︆︈ ︇︆︈p︇', '︆︈h︇︆︈o︇︆︈', 't︇︆︈o︇︆︈s︇', '︆︈ ︇︆︈a︇︆︈', 'n︇︆︈d︇︆︈ ︇', '︆︈v︇︆︈i︇︆︈', 'd︇︆︈e︇︆︈o︇', '︆︈s︇︆︈ ︇︆︈']",unknown,[]
Ꮥር.emilyqed,1,1,0.09090909090909091,[],unknown,[]
M︈︇︉y︈︇︉ ︈︇︉r︈︇︉e︈︇︉a︈︇︉l︈︇︉ ︈︇︉s︈︇︉e︈︇︉x︈︇︉y︈︇︉ ︈︇︉p︈︇︉i︈︇︉c︈︇︉s︈︇︉ ︈︇︉h︈︇︉e︈︇︉r︈︇︉e︈︇︉ ︈︇︉-︈︇︉ ︈︇︉w︈︇︉w︈︇︉w︈︇︉.︈︇︉s︈︇︉a︈︇︉v︈︇︉m︈︇︉.︈︇︉c︈︇︉l︈︇︉u︈︇︉b︈︇︉,1,1,0.7697368421052632,"['M︈︇︉y︈︇︉ ︈', '︇︉r︈︇︉e︈︇︉', 'a︈︇︉l︈︇︉ ︈', '︇︉s︈︇︉e︈︇︉', 'x︈︇︉y︈︇︉ ︈', '︇︉p︈︇︉i︈︇︉', 'c︈︇︉s︈︇︉ ︈', '︇︉h︈︇︉e︈︇︉', 'r︈︇︉e︈︇︉ ︈', '︇︉-︈︇︉ ︈︇︉', 'w︈︇︉w︈︇︉w︈', '︇︉.︈︇︉s︈︇︉', 'a︈︇︉v︈︇︉m︈', '︇︉.︈︇︉c︈︇︉', 'l︈︇︉u︈︇︉b︈']",unknown,[]
N.e.e.d__f.u.n__m.y__S.c..n.i.g.h.t.g.i.r.l.m.e.e.t,1,1,0.5555555555555556,"['.y__S.c...', '..n.i.g.h.', 't.g.i.r.l.']",unknown,['N.e.e.d__f.u.n__m.y__S.c..n.i.g.h.t.g.i.r.l.m.e.e.t']
a-d-d..s-n-a-p>cutebabelucy,1,1,0.32142857142857145,['a-d-d...s-'],unknown,[]
T*e*x*t--S*c--c.u.t.e.b.a.b.e.l.u.c.y=,1,1,0.5384615384615384,"['T*e*x*t---', 'S*c--c.u.t', '.e.b.a.b.e']",unknown,['T*e*x*t--S*c--c.u.t.e.b.a.b.e.l.u.c.y']
me gusta comer me gusta salir me gusta trabajar me gusta estudiar,0,0,0.0,[],unknown,[]
Instagram: @eln3griti,1,1,0.09523809523809523,[],unknown,['eln3griti']
snap rusty47777,1,1,0.0,[],unknown,['rusty47777']
tinder?  :face_with_raised_eyebrow:  ig:isaacc_bu,1,1,0.18181818181818182,[],unknown,['ig:isaacc_bu']
"Lo$e spen$ing time *#tdoors—whet$er it@s hiking$ camping, or stargazing.",0,1,0.1388888888888889,[],unknown,"['Lo$e', 'spen$ing', 'tdoors—whet$er', 'it@s', 'hiking']"
"solo busco que me traten como una princesa y me vuelvan más caprichosa de lo que soy, busco un papi bueno que me cumpla los caprichos  :kiss_mark: .rn mi Instagram lun4aa.22",1,1,0.024844720496894408,[],es,['lun4aa.22']
buenas tardes yo busco conocer personas yo quiero alguien que me entienda y queme allude en los económico porque soy una persona muy pobre pero tampoco soy interesada no me gusta pedirle a nadie y tampoco Nome gusta mentirle Ami pareja,1,0,0.0,[],es,[]
"soy madre soltera tengo un hijo de 13 años, soy auxiliar de enfermería, hogareña, romántica, fiel, honesta, busco amistad sincera y transparente inicialmente me gustaría encontrar una persona que me ayude económicamente y si nos entendemos, me gustaría tener una relación seria",1,0,0.02527075812274368,[],es,[]
me gustan los hombre mayores y si es posible que me ayude economicamente estoy dispuesta a todo,1,0,0.0,[],es,[]
"amo a mi familia, mis amigas y el amor sincero. ( 0046352016 )",1,1,0.06451612903225806,[],es,[]
"Soy muy divertida , sales only :peach: rnC0ntenido $",1,1,0.06818181818181818,[],es,['only🍑rnC0ntenido']
Ig frankimeyyrnalguien que me consienta,1,1,0.0,[],es,[]
"Si quiere hablar conmigo enviame un regalito de esos que aparecen al lado del teclado, creeme te llevaras una sorpresa ( busco sugar daddy)",1,0,0.02158273381294964,[],es,[]
plus 52 5 6 1 0 5 7 8 7 3 6 rnrnESCRIBE AL WSP PARA EXPERIMENTAR COSAS NUEVA Y RICAS  :fire:  :smiling_face_with_horns: ,1,1,0.016666666666666666,[],es,[]
"hago contenid0 en internet, fot0s, v1deos y videollamadas",1,0,0.03508771929824561,[],es,"['contenid0', 'fot0s', 'v1deos']"
Instagram yaider22 escriban no tengo premium,1,1,0.0,[],es,['yaider22']
no puedo hablar por aki no tengo premium manden mensaje en mi Facebook q es Ram Polanco,1,1,0.0,[],es,[]
tengo 14 y busco a alguien sensilla y que me ame,1,0,0.0,[],es,[]
holap soy un chico de 16 de Quito sur :3 soy bajo mido 1.58,1,0,0.03389830508474576,[],es,[]
" :red_heart: NO BUSCO PAREJA. :folded_hands: Soy Asilado Político ,RADIESTESISTA , MASAJISTA PRIFESIONAL con técnicas OrientalesEn toda clase de masajes y tratamiento para damas cultas y de mente abierta.  :two_hearts:  ATENCION :Solo QUITO Damas Deseosas de conocimiento nuevo , confidencial con agradables experiencias para armonizar tu entorno energético LA Comunicación UNICAMENTE por  :telephone_receiver:  o porWashap este mi #. 0 9 6 8 7 3.1 7 2 4,,  :fire:  OJO:SI gustas yQUEDO EN VISTO Y SIN RESPUESTA:ELIMIN",1,1,0.03958333333333333,[],es,[]
en realidad mentí a esta app tengo 15 jaja así que no se si me puedo encontrar a una JAJA,1,0,0.0,[],es,[]
No puedo ver ni escribir mensajes ya que no soy premium. Escríbeme 6ocho 9 5 2 8 3 cero1,1,1,0.010309278350515464,[],es,"['6ocho', 'cero1']"
busco relación de seria,0,0,0.0,[],es,[]
amante ala música salsa y ala coxinar.,0,0,0.02631578947368421,[],es,[]
